,Random Ingredients,Recipe Title,Ingredient Phrases,Recipe Instructions,Recipe Titile
2908,"pineapple,monterey jack pepper cheese,sesame oil,vanilla,pecorino romano cheese,beer,chinese sausage",," 8 ounces fresh pineapple or 8 ounces canned pineapple, cut in half | 2 ounces fresh pineapple, cut in half | 8 ounces grated mexican blend white wine or 8 ounces low-sodium apple-lime juice | 1 pound canned beer ( such as `` jang's '' or `` la cordon bleu '' ) | 5 ounces crushed unsalted unsalted unsalted casings removed ( such as casings de provence ) | 1 pinch vanilla | 4 pieces caesar-sized pizza stone "," place a large pot of lightly salted water in a pressure cooker or preheat on high.  soak the pineapple, pineapple, and pineapple juice in the boiling water for 7 minutes.  drain.  add the wine and beer to the pressure cooker.  stir until the mixture is smooth.  transfer the pineapple to an ice cream maker or other slow cooker, and add the casings and crushed toasted casings.  pour the chilled liquid evenly into the prepared cooker.  cover and steam for 1 to 3 hours.  meanwhile, prepare the cheese fondue with a pestle or cheese cloth and cut each circle of mozzarella into four wedges or squares.  place the prepared pizzas onto the prepared pizzas toasted crust, and drizzle with the cheese sauce.  serve immediately. 


",Cheese Fondue
2909,"vanilla,grain white rice,seasoning salt,chocolate,halibut fillet,sauce,cherry tomato",," 1 tablespoon butter | 3 lbs halibut fillets, thinly sliced ( about 2 cups, or use 2 cups each with the sides of the fillets, about 6 fillets on each bone ) | 1 pound halibut flakes, split lengthwise into 2 pieces, with skin "," in a large saucepan, cook halibut fillets over medium heat until just softened, but not cooked away or browned.  remove to paper towels.  set aside.  in a large bowl, whisk together butter, 14 cup water and seasoning salt.  set aside.  set saucepan over mediumlow heat.  meanwhile, in a large saucepan, melt butter.  add halibut, 1 tablespoon at a time, until just heated through, but not cooked away.  remove halibut flakes from pan with a slotted spoon, cover and keep warm.  in a large mixing bowl, combine remaining 14 cup water and 12 teaspoon salt until smooth.  set dressing aside.  transfer halibut flakes to a large bowl.  heat remaining 14 cup water in a 3 quart dutch oven over low heat ; cook the cutlets until golden and tender, brushing them with reserved butter over each cutlet.  remove cutlets from pot with slotted spoon, leaving a 1 tablespoon drippings in saucepan.  drain on a paper towellined plate.  repeat with remaining halibut flakes, halibut, and sauce.  let the cutlets stand at room temperature 2 hours.  stir in peaches before serving. 


",Tropical Salmon Pudding With Peaches
2910,"orange extract,beef",," 4 ears of fresh beets - peeled, diced | 1 cup water | 1 cup beetroot, rinsed and coarsely chopped | 1/2 cup flour | 1 lemons, juice of | 1 tablespoon orange extract | 2 tablespoons sugar | 2 onions, chopped | 6 tablespoons beef, drained ( optional ) "," heat 1 - 12 cups of the water in a medium saucepan to boiling ; add beets, reduce heat, cover and simmer until vegetables are tender, about 10 minutes.  remove beets with a slotted spoon and keep warm.  meanwhile, dice beetroot if using a zucchini or other firm green or red beet.  slice off ends from beets, cutting in half and retaining juice.  set aside.  combine flour and lemon juice in another medium bowl.  mix in remaining water and cornstarch.  blend well and smooth mixture into a ball.  shape into 18inch wide logs, about 14 inch long.  place in 13x9inch baking dish and cover with foil.  bake at 350 degrees f 175 degrees c for 15 minutes. 


",Beetroot Pie with French Toast
2911,"black mustard seed,black eyed pea,barley,lasagna noodle,five spice powder",, 1 lb lasagna noodles ( or the original recipe calls for the recipe's original recipe's original recipe's original recipe ) | 1/2 teaspoon balsamic vinegar | 1/4 teaspoon five-spice powder | 3/4 cup roasted black-eyed peas | 4 tablespoons balsamic vinegar ," to make the bulbasa sauce, combine the sauce ingredients in a medium saucecook pot.  add the boiling boiling water, reduce to a low heat, cover and simmer for about 1012 minutes, stirring, until noodles are tender.  while the vegetables are cooking, prepare the salad.  heat 1 tsp balsamic vinegar in a sauce pan over moderately high heat.  add the roasted pea sprouts, and cook for 8 minutes until crisptender, but still firm.  drain well and transfer to a large serving bowl.  add the balsamic vinegar to the vegetables and dressing ; stir to combine.  to the vegetables and salad bowl, add the balsamic vinegar to the dressing ; stir to combine.  spoon the balsamic dressing evenly over the noodles and vegetables ; sprinkle with remaining balsamic vinegar.  garnish with a skewer or serrated knife. 


",Lasagna With Spicy Black-Eyed Peas on the Side
2912,"caraway seed,seasoning",," 4 -6 slices breadcrumbs per loaf, plus 1/4 cup for topping ( bread crumbs are ok or use your own recipe ) ( optional ) | salt | ground cloves ( to taste ) | 4 -6 garlic cloves, minced | 1 -2 cinnamon stick ( not a whole thing! ) | 3 lemon slices | 1 cup honey | 2 packages active dry yeast | 1 tablespoon lemon rind | grated lemon rind | 1 large sweet thyme | 1 teaspoon caraway seeds | 1/4 cup butter | 1/4 cup seasoning or 1/4 cup olive oil "," preheat oven to 400 degrees f 200 degrees c.  place bread crumbs in a bowl, add the salt, seasonings, honey, garlic and cinnamon stick if using, and mix well.  form the bread crumbs into balls of about 34 inch in diameter, and roll them into ball shapes about 2 inches wide and 2 inches long.  place on a baking sheet or baking stone, and bake 25 to 30 minutes, until done.  remove from oven, and allow to cool on racks, about 15 minutes on the wire rack, or in the freezer overnight.  while breading, toast the honey in a skillet over mediumhigh heat, then stir in lemon rind, lemon juice, thyme, caraway seeds and butter, until the sauce starts to thicken, 3 to 4 minutes.  remove from heat, drain, and add bread crumbs to the honey mixture, tossing to coat the crumbs with crumbs, and toss gently to coat the crumbs with bread flavor.  serve warm or at room temperature.  note  if using honey sauce, use the same mixture as above.  this is not necessary to have a honey paste in the bread and flavor it, since the honey, lemon juice, thyme and maraschino sugar are really good. 


",Danish Bread Stuffed With Roasted Caraway
2913,"taco seasoning mix,saffron thread,chili pepper flake,turkey,chickpea,virgin olive oil",, 1 lb ground turkey | 6 teaspoons vegetarian chili sauce ( optional ) | saffron thread ( optional ) | 2 teaspoons roasted saffron thread ( optional ) | 1/2 teaspoon virgin olive oil ( approximately 1/4 cup ) | 1 cup frozen chickpeas ( about 3 large ) ( optional ) ," in a large, heavy skillet, brown the ground turkey in the hot oil until no longer pink in the middle.  reduce heat to low, cover, and simmer the mixture for 10 minutes.  add chili sauce, saffron.  simmer uncovered for 2 minutes more.  combine chick peas or frozen chickpeas with the turkey mixture, season with salt and pepper, and pour into the prepared tortillas.  top with any additional seasonings you wish. 


",Tortillas
2914,"cheese,cheesecloth",," 3/4 cup light mayonnaise ( or 1 ounce plain yogurt ) | 3 tablespoons white vinegar | 5 tablespoons finely chopped green onions | 3 garlic cloves, crushed | 3 tablespoons scallion, chopped | 3 tablespoons prepared tasty cheesecloth, crushed and divided | 1 tablespoon mayonnaise "," in a small bowl, whisk together mayonnaise, vinegar, and green onions.  set aside.  in a separate bowl, combine garlic, scallions, cheesecloth, mayonnaise, and mayonnaise.  cover and refrigerate overnight or overnight longer.  preheat oven to 375 degrees f 190 degrees c.  place a roasting pan over the middle of the stove.  pour in chicken broth.  roast, uncovered, until chicken is cooked through but still firm to the bite, about 45 minutes.  reduce heat to 275 degrees f 120 degrees c.  return chicken to the oven, and continue roasting, uncovered, until golden on the bottom and browned, about 10 more minutes.  let stand at room temperature in the crockpot several hours, before serving. 


",Cheese Cheddar Chicken
2915,"rotel,peanut butter,red potato,beef stew meat",," 1 1/2 teaspoons curry powder | 1/2 teaspoon dry sesame oil | 1/4 cup water, or as needed | 1 boneless beef stew meat, cut into 1/4-inch cubes | 1 1/2 cups frozen peeled green onions | 1 teaspoon minced garlic cloves | 1 can rotel, drained | 2 cups uncooked rotel | 1 can chicken broth | 2 cups cooked rice, or more as needed | 1/2 teaspoon red pepper flakes "," combine the curry powder, sesame oil, water, and beef in a stockpot ; bring to a simmer.  remove beef cubes and set aside.  heat 1 - 14 teaspoons of oil in a large pot over medium heat.  when oil is hot, cook and stir beef cubes for 1 to 2 minutes, or just until browned on all sides.  stir green onions into beef.  return beef cubes to skillet and stir in garlic, rotel, chicken broth, rice, and red pepper flakes.  reduce heat to low and simmer, uncovered, until liquid has reduced slightly by half, about 1 hour. 


",Spicy Beef Stew
2916,"olive,harissa,cooking oil,cake flour,dark soy sauce",," 1 tablespoon cooking oil | 2/3 cup yellow onion, chopped | 3 garlic cloves, chopped | 1 1/4 cups bread flour ( or flour flour ) | 4 teaspoons baking powder | 2 tablespoons dark soy sauce | 1/4 teaspoon dried oregano ( or other dried oregano ) | 1 package frozen mixed vegetables, thawed | 1 medium yellow onion, chopped | 2 tablespoons harissa ( soy sauce ) "," in a mixing bowl stir together all dry ingredients and add to onion mix.  mix well and let stand for 5 minutes.  in a large skillet heat oil to 400 degrees over medium high heat.  cook and stir yellow onion until translucent.  drain in colander.  in a separate skillet, saute chicken until tender.  add all of ingredients to onion mix with vegetables and bring to a boil.  cook for about 35 minutes stirring constantly.  remove from heat and let stand for 30 minutes, stirring occasionally, to drain.  pour mixture into a 10 x 6 inch casserole dish.  sprinkle with harissa if using and sprinkle with green onions and olives if using. 


",Chicken and Chicken Enchiladas
2917,"cauliflower,black bean,bay leaf,lime,heavy whipping cream",," 6 medium cauliflower, boiled | 3 garlic cloves, smashed | 1 tablespoon fresh lime juice or 1 tablespoon lime juice | salt & fresh ground pepper | 2 1/2 cups white rice | 2 cups heavy whipping cream | 4 bay leaves "," cut cauliflower into quarters lengthwise.  place garlic, lime juice, salt, pepper, and rice in a small bowl.  mix together cream, bay leaves, and 14 cup water.  add rice and toss gently to combine.  spoon mixture into a baking dish.  cover with baking dish and seal well.  place rice on top of rice and chill 4 hours, covered.  serve hot with sweetcorn tortilla chips. 


",Cauliflower With Black Bean-Stuffed Rice
2918,"tahini,nonfat plain yogurt",, 3/4 cup nonfat plain yogurt | 10 tablespoons tahini ( arabic flavored ) | 1/2 cup toasted sesame oil ," mix tahini and tahini.  mix in toasted sesame oil.  serve.  it may need to cover the bottom to make that more visible.  note i find it more important to use nonfat plain yogurt because it is so creamy and it keeps my yogurt from curdling. 


",Shabbatah (Shabbat Beer)
2919,"black raspberry jam,puff pastry,parsley,savory",," 2 -3 puff pastry sheets | 1 cup chopped scalded black raspberry jam ( approx.
    - 7 ounces or 1 teaspoon powdered raspberry extract with powdered greek yogurt or fresh cranberries ) | 2 tablespoons chopped fresh parsley ( can be found in the ethnic section of most grocery stores, i don't know how many ) | 1 1/2 tablespoons chopped fresh savory or 1 1/2 tablespoons sweet savory-chicken soup "," first of all, puff pastry sheets first, slice them out using the pastry cutter of one hand to flatten them a little or you will have a flat pastry.  use the cut edge of a pastry slice to hold the pastry in the pastry.  i like to press the edges firmly with my fingers to get all the pastry into the pastry.  put the pastry sheets in the refrigerator until ready to use.  heat the oven to 350 degrees or 375 degrees f.  cut one puff pastry into 12inch slices using a pastry brush to brush the edges.  fill each puff pastry with about 1 teaspoon of the jam.  place in the oven, turning over on all sides, for about 40 to 45 minutes or until the edges are browned.  remove and set aside.  remove the jam then place the hot pastry over the jam and drizzle with reserved jam.  repeat this process with remaining puff pastry and jam. 


",Black Raspberry Puffs
2920,"white vinegar,cornstarch,hard egg,lemon juice,flat leaf parsley,tea,thyme",, 1/2 cup sweet white vinegar | 2 cups frozen cornstarch | 3 cups warm milk | 3 egg yolks | 3/4 cup chopped fresh flat-leaf parsley | 2 tablespoons chopped fresh thyme | 1/2 teaspoon orange zest | 3/4 teaspoon dry crushed orange blossom water | 1/4 teaspoon grated lemon rind ," combine sweet white vinegar and cornstarch in a small bowl ; set aside.  bring a large pot of water to boil over mediumhigh heat.  stir cornstarch and 4 cups cold milk into cold water.  stir in egg yolks, parsley, thyme, and orange zest until combined.  drop cornstarch mixture into the hot water, stir until mixture thickens.  cook, stirring constantly, until mixture boils, about 10 minutes.  remove from heat and chill until firm, about 15 minutes.  place lemon rind in a blender or a food processor with the orange blossom water ; puree until smooth.  pour pure from cornstarch mixture into 2 large bowl.  stir parsley mixture into pure mixture, scraping down the sides of the bowl occasionally with a spatula so it does not stick to the side of the jar.  refrigerate mixture until chilled, about 2 hours.  mix cornstarch mixture into egg yolk mixture until creamy.  spoon over cornstarch mixture to coat.  refrigerate, covered, until firm, at least 1 week. 


",Orange Cornstarch
2921,"blueberry,italian seasoning,cardamom pod",," 2 ripe fresh blueberries | 1 teaspoon italian seasoning, or to taste | 1 teaspoon ground cardamom pods, or to taste "," place the blueberries in a bowl and sprinkle with seasoning to taste.  place the blueberries in the fridge overnight, turning occasionally, until well chilled, then refrigerate until cold, at least 30 minutes.  preheat an oven to 400 degrees f 200 degrees c.  brush or spray the inside of a 10x15inch loaf pan with olive oil and place a small sheet of plastic wrap around it so that the pan dries well.  arrange the blueberries on the foil.  bake in the preheated oven until the top is golden and the bottom is bubbling slightly, about 30 minutes.  serve with a dollop of sour cream or milk. 


",Baked Blueberry and Berry Stuffed Peppers
2922,"nonfat milk,grain white rice,coconut,lamb shank,garam masala,black olive,extra virgin olive oil,stewing beef",," 2/3 cup coconut | 1/3 cup extra virgin olive oil | 2 ounces lean ground lamb shank ( white or brown ) | 28 ounces whole grain white rice | 4 cups flaked long-grain white rice | 1/2 inch cinnamon stick ( optional ) or 1/2 inch cardamom pod ( optional ) | 2 teaspoons garam masala ( optional ) | 1 dash black olives, toasted and toasted ( optional ) | 4 ounces whole black-eyed peas ( optional ) ( optional ) "," heat the olive oil in a 5 cast iron skillet over mediumhigh heat.  cook the ground lamb shanks for five minutes on each side until wellbrowned on each side.  remove meat and turn over onto a plate.  add the rice, cinnamon stick, garam masala, and black olives, if using, to the pan.  stir gently until all the rice ingredients are incorporated.  set the skillet to medium heat.  once the grains are cooked through, add more rice or beans, if required, and cook until the rice is tender.  place the roasted lamb shanks in the skillet with the rice and seasonings.  cover the pan and immediately reduce the heat to a simmer, cook for about fifteen minutes or until the lamb shanks are cooked through and the rice is tender.  serve hot. 


",Moroccan Beef Kabobs
2923,"shrimp paste,soy sauce,self rising flour,vegetable",, 1 1/2 cups cold water | 1 1/2 teaspoons peanut oil | 1 ounce shrimp paste | 1 teaspoon soy sauce | 1 1/2 teaspoons cornstarch | 1 tablespoon water | 1/2 teaspoon sugar | 3 tablespoons cornstarch | 3 ounces boneless skinless chicken breasts ( about 3 cups ) | 4 ounces shredded cooked shrimp or 4 ounces shrimp paste ," put water, peanut oil, 1 teaspoon soy sauce, 1 teaspoon cornstarch and 1 teaspoon sugar in a sauce pan ; bring to a boil.  simmer, stirring occasionally, until sugar is dissolved.  remove from heat.  discard the sauce.  heat 3 tablespoons oil in a wok or frying pan over high heat.  place chicken pieces into the hot wok and swirl to coat with oil.  cook until golden brown, 3 to 5 minutes, turning each chicken piece once after 3 minutes.  remove from wok and pour the remaining oil into the pan.  stir in shrimp, 1 teaspoon soy sauce, 1 teaspoon water, 2 teaspoons sugar, 1 teaspoon cornstarch, and 1 teaspoon cornstarch ; cook and stir until sauce is thickened, about 1 minute.  add the chicken to the sauce and cook until heated through and chicken is thoroughly heated, 4 to 5 minutes.  sprinkle shredded shrimp or paste onto a plate lined with paper towels.  let stand to cool slightly.  mix peanut oil, 12 cup peanut oil, 1 teaspoon cornstarch, and 1 teaspoon sugar in a bowl ; add chicken and stir to coat.  remove from the wok and stir 1 - 12 teaspoons soy sauce into each cooked shrimp or paste.  pour the mixture over the shrimp sauce. 


",Shrimp and Peanuts Curry
2924,"puff pastry,black olive,pork,noodle,red apple",," 1 large noodle, cooked but firm | 2 red apples, peeled, cored and cubed | 2 poblano chiles, seeded and diced | 1 can black olives, roughly chopped | puff pastry, for a double batch "," preheat the oven to 225c.  wash the noodles, and pat dry with paper towels.  lightly butter a 12x18cm baking tin.  arrange them in a neat rows with one of the noodles in the tin, overlapping well.  arrange them in a neat row with apples, poblanos, and olives on top of them, overlapping well.  arrange the stuffed shells on a baking sheet, tucking under the skin to give an attractive design.  bake for 20 to 25 minutes, until browned.  allow to cool before serving. 


",Mamma's Spanish Pastry Pockets
2925,"lime juice zest,banana,chipotle hot sauce,gin,white bread,saffron thread",," 3 lbs ground black beans | 2 tablespoons sugar | 1/4 cup orange rind, grated | 1 tablespoon grated fresh lime rind, grated | 1 tablespoon fresh ginger, grated or 1/2 teaspoon grated ginger, grated | 1 lemon, juice and zest of, grated | 1 pinch saffron threads "," cook beans in a medium skillet to tender yet firm to the bite, about 10 minutes.  mix next 6 ingredients in a bowl and set aside.  in a large bowl, combine meat, beans, sugar, orange rind, lime grated ginger, lime juice and zest.  add the dry ingredients and rub into the meat mixture to season.  shape into a loaf and secure with toothpicks.  refrigerate until completely cooled.  serve with a side of tortilla chips, or tortilla chips that are a little more crunchy. 


",Chilean Bean Bread With Black Beans
2926,"savory,cognac,leek,mustard powder,liquid smoke,tomato sauce,cooking oil,cottage cheese",," 4 lbs medium leeks, ends trimmed | 1 can low-sodium tomato sauce | 1/2 cup cognac | 1 dash mustard powder | 1/2 - 1 teaspoon liquid smoke | 1 teaspoon baking powder | 1/2 cup cottage cheese ( i've made use brand i use low fat, but if you're inclined you could use any kind of cheese ) "," cut leeks into 6 inch lengths and cut in half lengthwise.  place in a large resealable plastic bag i put the plastic inside the bag.  pour all remaining sauce ingredients into the bag, and shake vigorously.  squeeze out excess air, then refrigerate for several hours or overnight.  heat oil in a large heavy saucepan.  add the leek halves, and lightly brown them, turning once.  remove with a slotted spoon, and let cool slightly on paper napkins.  remove the leek halves and cool completely.  in a large pot of boiling water, cook the creamed garlic until translucent.  remove the leeks from their sauce, and cool completely.  heat remaining sauce in a small saucepan.  add cognac and mustard powder and cook for 2 minutes.  add evaporated milk, and whisk well.  add cream cheese, and whisk well.  cook for 3 minutes. 


",Dutch Steaks With Cognac Sauce
2927,"coconut milk,asparagus",," 3 large eggs | 1 cup coconut milk | 1 cup asparagus | 2 garlic cloves, minced | 2 teaspoons sugar | 2 teaspoons cinnamon | 2 teaspoons coriander leaves, chopped | 2 tablespoons green chilies, finely chopped | salt & freshly ground black pepper to taste "," beat the eggs, coconut milk and asparagus in a microwavesafe bowl, stirring constantly until the eggs are firm and creamy, about 5 minutes.  stir in the garlic and sugar, cinnamon, coriander, chillies and salt and pepper, stir over high heat for 2 minutes.  transfer mixture to a bowl, cover and refrigerate the mixture for 2 to 3 hours.  preheat the broiler.  broil the mixture for 6 inches from heat until just bubbling, about 2 minutes.  if serving in individual shallow pans, place them on a cooling rack.  to serve, carefully arrange the asparagus mixture on the bottom of the oven basket in the center of the hot broiler.  broil, until the asparagus slices are golden brown and golden, about 1 minute. 


",Asparagus & Coconut Syrup
2928,"prosciutto,genoa salami,canola oil,garlic,linguine,italian flat leaf parsley,green food coloring,monterey jack pepper cheese",," 8 ounces linguine | 2 1/2 cups shredded monterey jack pepper cheese | 1/4 teaspoon crushed red pepper flakes | 1 1/2 ounces extra-virgin olive oil | 8 ounces linguine ( linguine size, not canned ) | 12 ounces prosciutto, cut into bite-sized pieces ( about 1 lb ) | 2 garlic cloves, minced | 5 green food coloring | 8 ounces grated genoa salami "," rinse linguine ; pat dry.  mix parmesan cheese, red pepper flakes, and oil together.  cook, uncovered, on medium heat, stirring occasionally, until melted.  remove from heat.  heat 1 tablespoon olive oil in a skillet over mediumlow heat ; stir in linguine.  cook, stirring occasionally, until al dente, 2 to 3 minutes. 


",Linguine in Grit
2929,"french sandwich,cream mushroom soup,chipotle chile,cognac,garlic",," 16 ounces condensed cream of mushroom soup | 1/3 cup yellow cornmeal | 2 tablespoons cognac | 2 cans red sweet cornmeal | 1 cup chopped garlic | 1 envelope chipotle chiles, coarsely chopped "," in a large kettle boil the soup, 1 tablespoon cornmeal with 2 tablespoons cognac, and the remaining 2 tablespoons cornmeal.  add the cooked soup ; bring to a boil.  reduce heat ; cover and cook for 2 hours.  strain and set aside.  for the crust, combine all the ingredients and set aside.  on a lightly floured surface, roll out the dough to about 14inch thickness.  cut in half into 4 circles.  place on a prepared cookie sheet and press lightly to flatten.  bake in a preheated 350f oven for 2025 minutes or until golden brown. 


",Tater Salad (Sopa De Res)
2930,"cashew,pineapple juice,vegetable stock,anise seed,cucumber",," 1/2 cup white sugar | 1 teaspoon ground ginger root | 1/2 teaspoon curry powder | 1 can pineapple juice | 3 teaspoons vegetable stock | 1 teaspoon white sugar | 1/4 teaspoon ground red chili pepper | 4 tablespoons unsweetened cashews pecans, chopped | 3/4 cup unsweetened raw sugar | 1/3 cup apple cider vinegar "," combine together the white sugar, ground ginger, curry powder, pineapple juice, vegetable stock, white sugar, red chili pepper, and cashew pecans in a medium bowl.  add this mixture to the pineapple mixture and mix thoroughly.  cover tightly and refrigerate until you will have the consistency of a thick cream sauce, at least 1 day.  remove the cashew nuts from the refrigerator and stir into the prepared sauce.  cover and refrigerate at least 12 hours or overnight.  before using, heat a small heavybased wok or large skillet.  stir the mixture until it reaches medium high heat.  when it begins to smoke, add the sugar, chili pepper, and cashew nuts.  stir well and cook over medium heat until the chips are cooked to desired doneness.  serve immediately. 


",Crispy Sweet Cashews
2931,"iceberg lettuce,shallot",," 2 lbs fresh iceberg lettuce, shredded | 1 teaspoon shallot, minced | 2 tablespoons iceberg lettuce "," cut iceberg lettuce into 1 inch strips.  place on a salad platter.  place iceberg lettuce strips on each lettuce strip.  arrange shallot on top, then top lettuce with iceberg salad and garnish with the remaining iceberg lettuce.  serve at once. 


",Sweet Basil Salad
2932,"white wine,ladyfinger,greek yogurt,zucchini,red chili pepper",," 3 cups white wine | 10 large fresh sun-dried tomatoes, chopped | 3 large zucchini, sliced into thin strips | 1 1/2 teaspoons dried red chili peppers ( optional ) | 1/4 cup greek yogurt | 1 garlic clove | 1/3 cup sun-dried tomato puree "," in small saucepan, pour boiling water over tomatoes and zucchini.  let stand 15 minutes to release the flavours.  in small skillet, heat oil and saute garlic for 5 minutes.  add white wine and seasonings.  stir and cook over low heat for 2 minutes.  gradually add the yogurt and reduce heat.  add half of the hot liquid and cook slowly for 1 minute.  serve with basmati rice or couscous. 


",Sun-Dried Tomato and Sun-Dried Tomato Soup With Zucchini in Gravy
2933,"rhubarb,artichoke,vanilla bean,chocolate chip,orange zest",, 2 eggs | 1 cup granulated sugar | 1 vanilla bean | 1 teaspoon salt | 3 ounces rhubarb | 2 tablespoons pure vanilla extract | 1 teaspoon sugar | 1 egg | 1 dash lemon zest | 3 ounces semisweet chocolate chips ( approx ) | 1 tablespoon dried orange zest ," for the dough.  beat together the eggs, sugar, vanilla bean, salt, and rhubarb in a bowl until light and fluffy.  beat the egg whites and sugar until pale and beat in the pure vanilla extract ; mix in the rhubarb mixture.  beat in the egg yolk and 14 cup water.  spread half of the cookies over waxed paper, then press on the paper to adhere.  bake in the middle of a 350 degree f oven for 10 minutes.  cool on a wire rack at least 3 hours and 15 minutes.  for the vanilla bean cookies.  cut rhubarb into 2 inch pieces ; brush in 1 teaspoon sugar.  using a pastry brush, brush the tops of the rhubarb pieces with 1 teaspoon sugar.  dust the rhubarb pieces with 1 teaspoon sugar.  press 1 teaspoon of vanilla bean mixture on each of the rhubarb pieces, then sprinkle with the chocolate chips.  bake for 10 minutes at 350 degrees f 175 degrees c.  for the chocolate topping.  pour 1 teaspoon of semisweet chocolate powder over each cookie ; press onto top.  cut each chocolate cookies into 8 wedges with a sharp knife.  place the tops of the cookies in a small bowl, cover with plastic wrap, and refrigerate for at least 3 hours before using. 


",Jamaican Chocolate Sultana Cookies
2934,"palm sugar,orange marmalade,hot chili sauce,pasta,chili paste,vital wheat gluten,sage,tahini",, 125 g pasta | 125 g green chili peppers | 3 chicken breasts ( breasts removed and sliced ) | 4 teaspoons lemon juice | 1 tablespoon fresh sage | 1 hot chili sauce | 1 pinch sweet chili paste ( such as kibbee or sado de pollo ) | 1/4 teaspoon dried tahini | 500 ml cream | 2 tablespoons palm sugar ," cook pasta until al dente, drain and return to pan.  in small bowl, whisk together the green chili peppers and chicken with lemon juice and sage and heat for 1 minute.  in same bowl, stir the lemons and cook for a further minute or two.  stir in the cooked pasta and cream and cook for a minute or two.  spoon into bowl and garnish with a sprinkling of tahini.  serve with a little lemon wedges if desired. 


",Tahini Chicken With Chicken (Tia Maria)
2935,"clove,taco shell,bouquet garni",, 1 1/2 cups bouquet garni | 1 package taco shell | 2 teaspoons ground cloves ," sprinkle bouquet garni into a large pot over medium heat.  sprinkle in the salt, and let simmer until tender, about 5 minutes.  set it aside.  chop the cilantro into small pieces.  stir in the bouquet garni into the soup, and let simmer until the soups become thick and creamy, about 15 minutes.  remove the soup from the heat, and allow it to stand for 10 to 15 minutes before serving. 


",Fiesta Tortilla Soup
2936,"jasmine rice,baby spinach,italian sausage,rose water",," 1 package italian sausage ( or other mild kind ) | 1/2 cup dried italian sausage ( or other mild kind ) | 1/2 cup italian-style blend chicken breast, diced | 1/2 cup chopped fresh garlic | 4 ounces chopped fresh tomatoes | 2 cups cooked jasmine rice | 1/2 cup frozen baby spinach | 2 cans fat-free spaghetti sauce | 1/4 cup fresh rose water "," preheat oven to 4 grease a baking sheet or grate and line the baking sheet with parchment paper i use my nonstick baking sheet.  in a large saute pan combine all ingredients except spaghetti sauce and cook over medium heat until the spinach just starts to wilt and most of the liquid has evaporated.  remove pan from heat and set aside.  in same saute pan heat olive oil over medium heat.  add sausage and sausage mixture.  cook until mixture begins to brown on all sides, about 8 minutes.  stir in chopped garlic and tomatoes and cook until all ingredients are well combined and the tomato is just starting to brown.  add cooked pasta, stir and bring to a low boil, stirring.  reduce heat to medium and cover.  cook over low heat, stirring occasionally until all ingredients are just heated through and sauce is thickened and smooth but not burning, about 1 minute. 


",Stuffed Baby Spinach and Peppers
2937,"whipping cream,salt pepper,paprika",, 5/8 cup whipping cream | 2 tablespoons smoked paprika | 2 tablespoons salt and pepper ," heat the cream over low heat, until thick.  season to taste with kosher salt and pepper. 


",Welsh Cream
2938,"green,chili",," 1 can crushed tomatoes with sauce ( or your favorite ) | 2 cloves garlic, crushed | 1 green pepper, chopped | 1/4 teaspoon dried basil | 1 bay leaf | 1/2 teaspoon dried thyme, crushed | 1 can tomatoes and chorizo sausage | 2 links chorizo sausage, trimmed and sliced into 1 inch pieces | 2 cans crushed mild chili "," in a large heavy skillet or dutch oven, heat tomato sauce over medium heat, then simmer for 5 minutes.  add peppers, basil, garlic, green and yellow pepper, and thyme.  stir often until peppers are soft and beginning to brown on the outside.  add tomato with sauce and chorizo.  cook for 1 minute, then blend meat until cooked through.  stir occasionally until all meat is mixed well.  add tomatoes with chili, and cook 2 minutes longer.  serve hot. 


",Pork Sausage Casserole
2939,"fruit preserve,chipotle chile,burgundy wine,yellow pepper,scallion,red potato,pecorino romano cheese",," 1 can burgundy wine | 1 ounce chipotle chile, minced | 3 tablespoons pimento-stuffed red potatoes | 1 tablespoon dried chipotle chili, crushed | 1/4 cup fruit preserves, or more to taste | 1/2 cup peeled sliced scallion "," dice the red potato with one sprig of fresh chile, and set aside.  preheat a griddle to 350 degrees f 175 degrees c.  pour the wine and the chipotle chile paste into a small saucepan over medium heat, and bring to a boil, stirring often to dissolve the chile paste.  add the red potatoes and cook, stirring occasionally, until the potatoes are tender, about 5 minutes.  drain the potatoes and place on a plate that has just been coated with cooking spray.  pour the wine and chile paste over the potatoes ; season with the pimento, preserved scallions, and a sprinkle of the blackened pepper.  bake in a preheated grill until the potatoes are crisp and the liquid has thickened, about 10 minutes.  serve immediately. 


",Caldo De Provence (The Real Deal)
